,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,hotel_en_nm,room_index,room_nm,room_price,room_price_weekend,room_area,standard_date
43,1446,경기도,성남시,관광호텔,바인호텔,박대광,영업중,2성급,2017.12.28.,지하1/지상9,600,3890,66,경기도 성남시 중원구 산성대로 184 (성남동),휴게음식점,경기도 성남시 중원구 산성대로 184 (성남동),경기도 성남시 중원구 성남동 2191,37.4361052,127.13927,경기도,성남시 중원구,성남동,2191,2191,0,4113310100,4113310100-0-21910000,,,,,,,
44,1447,경기도,성남시,관광호텔,메이트호텔,진성국,영업중,2성급,2017.12.05.,지하5/지상6,770,4887,62,경기도 성남시 분당구 황새울로335번길 7 (서현동),레스토랑,경기도 성남시 분당구 황새울로335번길 7 (서현동),경기도 성남시 분당구 서현동 261-4,37.3861855,127.12156,경기도,성남시 분당구,서현동,261-4,261,4,4113510500,4113510500-0-02610004,,,,,,,
45,1448,경기도,성남시,관광호텔,코트야드 바이매리엇 서울 판교,미래에셋 컨설팅㈜,영업중,4성급,2018.2.1.,지상7~지상16,3310,41521,282,경기도 성남시 분당구 판교역로192번길 12 (삼평동),"일반음식점, 연회장, 피트니스, 라운지",경기도 성남시 분당구 판교역로192번길 12 (삼평동),경기도 성남시 분당구 삼평동 664 판교미래에셋센터,37.397491,127.1107446,경기도,성남시 분당구,삼평동,664,664,0,4113510900,4113510900-0-06640000,,,,,,,
46,1449,경기도,성남시,관광호텔,호텔루이스,진춘호,영업중,2성급,2019.10.4.,지하3/지상13,520,4633,100,경기도 성남시 중원구 광명로 22-1 (성남동),레스토랑,경기도 성남시 중원구 광명로 22-1 (성남동),경기도 성남시 중원구 성남동 3252 코스코빌딩,37.4329767,127.1317587,경기도,성남시 중원구,성남동,3252,3252,0,4113310100,4113310100-0-32520000,,,,,,,
47,1450,경기도,성남시,관광호텔,밀리토피아호텔,국군복지단,영업중,4성급,2019.11.11.,지하3/지상13,38076,19172.44,149,경기도 성남시 수정구 위례대로 83 (창곡동),"라운지, 비즈니스센터, 일반음식점, 스카이라운지",경기도 성남시 수정구 위례대로 83 (창곡동),경기도 성남시 수정구 창곡동 566,37.4677866,127.1431159,경기도,성남시 수정구,창곡동,566,566,0,4113110800,4113110800-0-05660000,,,,,,,
48,1451,경기도,성남시,관광호텔,호텔야자 관광호텔,이원배 외 2,영업중,1성급,2018.5.21.,지상9~지상10,1049,1191.88,35,경기도 성남시 수정구 위례광장로 9-10 (창곡동),"휴게음식점, 세탁 및 린넨실",경기도 성남시 수정구 위례광장로 9-10 (창곡동),경기도 성남시 수정구 창곡동 561-2 아롬타워,37.4649137,127.1406277,경기도,성남시 수정구,창곡동,561-2,561,2,4113110800,4113110800-0-05610002,,,,,,,
49,1452,경기도,성남시 ,호스텔,호텔 루비 호스텔,신연실,영업중,-,-,지상4,1158,885.596,24,경기도 성남시 분당구 성남대로 30(구미동),"휴게음식점, 린넨실",경기도 성남시 분당구 성남대로 30 (구미동),경기도 성남시 분당구 구미동 185-5,37.3383731,127.10941,경기도,성남시 분당구,구미동,185-5,185,5,4113511400,4113511400-0-01850005,,,,,,,
50,1453,경기도,성남시,관광호텔,서머셋센트럴분당,탄라이셍 등2,영업중,3성급,2019.6.5.,지하6/지상9,2045.9,20561.08,206,경기도 성남시 분당구 황새울로311번길 36 (서현동),"레스토랑, 라운지카페, 휘트니스센터, 미팅룸, 비지니스센터",경기도 성남시 분당구 황새울로311번길 36 (서현동),경기도 성남시 분당구 서현동 261-1 서머셋센트럴 분당,37.3865396,127.1212274,경기도,성남시 분당구,서현동,261-1,261,1,4113510500,4113510500-0-02610001,,,,,,,
51,1454,경기도,성남시,관광호텔,카인드호텔,㈜카인드,영업중,3성급,2020.11.19.,지하4/지상8,770.2,5534.12,92,경기도 성남시 분당구 황새울로329번길 10 (서현동),"휴게음식점, 일반음식점,세탁실,세미나실",경기도 성남시 분당구 황새울로329번길 10 (서현동),경기도 성남시 분당구 서현동 261-3 카인드호텔,37.3863378,127.1214157,경기도,성남시 분당구,서현동,261-3,261,3,4113510500,4113510500-0-02610003,,,,,,,
52,1455,경기도,성남시,관광호텔,㈜신세계조선호텔 그래비티서울판교,㈜신세계조선호텔,영업중,평가중,-,지하7/지상18,2410.4,29701.38,306,경기도 성남시 분당구 판교역로146번길 2 (백현동),"레스토랑, 수영장, 체력단련장, 세탁실, 비즈니스코너, 연회장",경기도 성남시 분당구 판교역로146번길 2 (백현동),경기도 성남시 분당구 백현동 538 그래비티 타워,37.3933238,127.1101093,경기도,성남시 분당구,백현동,538,538,0,4113511000,4113511000-0-05380000,,,,,,,
