,idx,addr1,addr2,type,name,biz_name,status,rate,rate_date,floor,area1,area2,rooms,address,amenities,doro,gibun,latitude,longitude,sido,sigungu,bjdong,beonji,beon,ji,bjdong_code,PNU,hotel_en_nm,room_nm,room_price,room_area,standard_date
557,558,부산광역시,수영구,소형호텔,오션투헤븐,안재원 외 1명,영업중,2성,2019-08-21 0:00,지상5~지상6층,3558,1084.37,26,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 A동 5~6층 (민락동)","로비라운지, 일반음식점","부산광역시 수영구 광안해변로278번길 42, 오션브릿지 A동 5~6층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,35.1539705,129.1245151,부산광역시,수영구,민락동,181-154,181,154,2650010300,2650010300-0-01810154,,,,,
558,559,부산광역시,수영구,호스텔,더뷰 호스텔,강태원,영업중,,,"5층,9층",178.84,2029,11,부산광역시 수영구 남천바다로33번길 47 (광안동),"공동취사장, 문화정보교류실",부산광역시 수영구 남천바다로33번길 47 (광안동),부산광역시 수영구 광안동 199-6 마린빌딩,35.1505048,129.1152966,부산광역시,수영구,광안동,199-6,199,6,2650010400,2650010400-0-01990006,,,,,
559,560,부산광역시,수영구,호스텔,에이치라운지,정소영,영업중,,,"지상7층, 9층",380.3,2143.19,13,"부산광역시 수영구 광안해변로 249, 7,9층 (민락동)","공동취사장, 문화정보교류실","부산광역시 수영구 광안해변로 249, 7,9층 (민락동)",부산광역시 수영구 민락동 178-13 249타워,35.1551686,129.1211637,부산광역시,수영구,민락동,178-13,178,13,2650010300,2650010300-0-01780013,,,,,
560,561,부산광역시,수영구,호스텔,게스트하우스 어반,김경하,영업중,,,지상2~4층,235,559.57,12,"부산광역시 수영구 광안해변로295번길 4-7, 2~4층 (민락동)","공동취사장, 문화정보교류실","부산광역시 수영구 광안해변로295번길 4-7, 2~4층 (민락동)",부산광역시 수영구 민락동 181-68,35.1570135,129.1259132,부산광역시,수영구,민락동,181-68,181,68,2650010300,2650010300-0-01810068,,,,,
561,562,부산광역시,수영구,호스텔,제이스테이,김민주,영업중,,,지상4~6층,194.9,820.81,12,부산광역시 수영구 남천바다로 31-1 (광안동),"공동취사장, 문화정보교류실",부산광역시 수영구 남천바다로 31-1 (광안동),부산광역시 수영구 광안동 203-18 광안동 AK빌딩,35.1487652,129.1140254,부산광역시,수영구,광안동,203-18,203,18,2650010400,2650010400-0-02030018,,,,,
562,563,부산광역시,수영구,호스텔,벡스코호스텔,김쌍녀,영업중,,,지상1~3층,320,395.88,14,부산광역시 수영구 광안해변로284번길 43 (민락동),"공동취사장, 문화정보교류실",부산광역시 수영구 광안해변로284번길 43 (민락동),부산광역시 수영구 민락동 181-212,35.1540371,129.125562,부산광역시,수영구,민락동,181-212,181,212,2650010300,2650010300-0-01810212,Bexco Hostel B&B,트윈룸,"38,209",20m²,2021-12-13
563,564,부산광역시,수영구,호스텔,SEASEE게스트하우스,박상진,영업중,,,지상5층,170,678.2,2,부산광역시 수영구 광안해변로 191 (광안동),"공동취사장, 문화정보교류실",부산광역시 수영구 광안해변로 191 (광안동),부산광역시 수영구 광안동 197-16,35.1515708,129.1166675,부산광역시,수영구,광안동,197-16,197,16,2650010400,2650010400-0-01970016,,,,,
564,565,부산광역시,수영구,호스텔,이화맨션,조영혜,영업중,,,지상6층,214.3,697.435,1,"부산광역시 수영구 광안해변로 247, 6층 (민락동)","공동취사장, 문화정보교류실","부산광역시 수영구 광안해변로 247, 6층 (민락동)",부산광역시 수영구 민락동 178-19,35.1550462,129.1208365,부산광역시,수영구,민락동,178-19,178,19,2650010300,2650010300-0-01780019,,,,,
565,566,부산광역시,수영구,호스텔,헤븐리 펜트하우스,정소영,영업중,,,지상10층,299,207.99,5,부산광역시 수영구 민락수변로 13-1 (민락동),"공동취사장, 문화정보교류실",부산광역시 수영구 민락수변로 13-1 (민락동),부산광역시 수영구 민락동 181-143 정원비치,35.1546374,129.1241712,부산광역시,수영구,민락동,181-143,181,143,2650010300,2650010300-0-01810143,,,,,
566,567,부산광역시,수영구,호스텔,해피앤게스트하우스,송신해,영업중,,,지상3층,383.1,561.42,4,"부산광역시 수영구 광남로 106, 3층 (광안동)","공동취사장, 문화정보교류실","부산광역시 수영구 광남로 106, 3층 (광안동)",부산광역시 수영구 광안동 199-12,35.1512456,129.1155215,부산광역시,수영구,광안동,199-12,199,12,2650010400,2650010400-0-01990012,,,,,
567,568,부산광역시,수영구,호스텔,호텔미라주,이양미,영업중,,,지상1~6층,225,597.8,16,"부산광역시 수영구 남천바다로33번길 15 (광안동, 미라쥬)","공동취사장, 문화정보교류실","부산광역시 수영구 남천바다로33번길 15 (광안동, 미라쥬)",부산광역시 수영구 광안동 203-4 미라쥬,35.1492132,129.1143045,부산광역시,수영구,광안동,203-4,203,4,2650010400,2650010400-0-02030004,,,,,
568,569,부산광역시,수영구,호스텔,어반하우스,㈜상하,영업중,,,지상6층,267,1192,2,"부산광역시 수영구 민락수변로7번길 16, 6층 (민락동, 비치프라자)","공동취사장, 문화정보교류실","부산광역시 수영구 민락수변로7번길 16, 6층 (민락동, 비치프라자)",부산광역시 수영구 민락동 181-149 비치프라자,35.1552586,129.1245627,부산광역시,수영구,민락동,181-149,181,149,2650010300,2650010300-0-01810149,,,,,
569,570,부산광역시,수영구,호스텔,B612 호스텔,박지봉,영업중,,,지상6층,642.3,1781.25,7,"부산광역시 수영구 광안해변로 179, 6층 (광안동)","공동취사장, 문화정보교류실","부산광역시 수영구 광안해변로 179, 6층 (광안동)",부산광역시 수영구 광안동 200-4,35.1506001,129.1158653,부산광역시,수영구,광안동,200-4,200,4,2650010400,2650010400-0-02000004,,,,,
570,571,부산광역시,수영구,호스텔,페트라 호스텔,김수환,영업중,,,지상2~4층,369,1264.91,15,부산광역시 수영구 광안해변로295번길 4-11 (민락동),"공동취사장, 문화정보교류실",부산광역시 수영구 광안해변로295번길 4-11 (민락동),부산광역시 수영구 민락동 181-52 주건축물제1동,35.1571268,129.1260377,부산광역시,수영구,민락동,181-52,181,52,2650010300,2650010300-0-01810052,,,,,
571,572,부산광역시,수영구,호스텔,호텔더그랑 광안(호스텔),박향연,영업중,,,지상2~4층,229,1221.44,7,"부산광역시 수영구 광안해변로290번길 6, 2, 7층 (민락동)","공동취사장, 문화정보교류실","부산광역시 수영구 광안해변로290번길 6, 2, 7층 (민락동)",부산광역시 수영구 민락동 181-91,35.1558594,129.1252462,부산광역시,수영구,민락동,181-91,181,91,2650010300,2650010300-0-01810091,Hotel The Gran Gwangan,Standard Double Room,"35,236",17m²,2021-12-13
572,573,부산광역시,수영구,호스텔,솔게스트하우스 부산파티점,정성학,영업중,,,지상2~4층,112.58,616.07,8,"부산광역시 수영구 광안로62번길 1, 3~4층 (광안동)","공동취사장, 문화정보교류실","부산광역시 수영구 광안로62번길 1, 3~4층 (광안동)",부산광역시 수영구 광안동 192-1,35.1545698,129.1187259,부산광역시,수영구,광안동,192-1,192,1,2650010400,2650010400-0-01920001,,,,,
573,574,부산광역시,수영구,호스텔,루크하우스,강영주,영업중,,,지상2~4층,194.9,820.81,3,"부산광역시 수영구 남천바다로 31-1, 7~8층 (광안동, 광안동 AK빌딩)","공동취사장, 문화정보교류실","부산광역시 수영구 남천바다로 31-1, 7~8층 (광안동, 광안동 AK빌딩)",부산광역시 수영구 광안동 203-18 광안동 AK빌딩,35.1487652,129.1140254,부산광역시,수영구,광안동,203-18,203,18,2650010400,2650010400-0-02030018,,,,,
574,575,부산광역시,수영구,호스텔,커플라운지 호스텔,최하경,영업중,,,지상2~4층,461.5,3877.7,18,"부산광역시 수영구 광안해변로 237, 601호 (민락동, 테마타워)","공동취사장, 문화정보교류실","부산광역시 수영구 광안해변로 237, 601호 (민락동, 테마타워)",부산광역시 수영구 민락동 179-11 테마타워,35.1547253,129.1199263,부산광역시,수영구,민락동,179-11,179,11,2650010300,2650010300-0-01790011,,,,,
575,576,부산광역시,수영구,호스텔,몰디브호텔,정봉엽,영업중,,,지상2~4층,317.4,1489.31,6,"부산광역시 수영구 광남로 29, 3층 (남천동, 한사리빌딩)","공동취사장, 문화정보교류실","부산광역시 수영구 광남로 29, 3층 (남천동, 한사리빌딩)",부산광역시 수영구 남천동 27-23 한사리빌딩,35.1455352,129.1106392,부산광역시,수영구,남천동,27-23,27,23,2650010500,2650010500-0-00270023,,,,,
576,577,부산광역시,수영구,호스텔,GAD Guest House,조수범,영업중,,,지상2~4층,299,1790.88,6,"부산광역시 수영구 민락수변로 13, 2층 (민락동)","공동취사장, 문화정보교류실","부산광역시 수영구 민락수변로 13, 2층 (민락동)",부산광역시 수영구 민락동 181-141,35.1547317,129.1241192,부산광역시,수영구,민락동,181-141,181,141,2650010300,2650010300-0-01810141,,,,,
577,578,부산광역시,수영구,호스텔,No25호스텔,윤제웅,영업중,,,지상2~4층,276,999.62,7,부산광역시 수영구 광안해변로284번길 16 (민락동),"공동취사장, 문화정보교류실",부산광역시 수영구 광안해변로284번길 16 (민락동),부산광역시 수영구 민락동 181-177,35.1552106,129.1248253,부산광역시,수영구,민락동,181-177,181,177,2650010300,2650010300-0-01810177,,,,,
578,579,부산광역시,수영구,호스텔,피코블루,이병진,영업중,,,지상2~4층,185.5,879.48,15,"부산광역시 수영구 광안해변로 247-1, 5층 (민락동, 행복빌딩)","공동취사장, 문화정보교류실","부산광역시 수영구 광안해변로 247-1, 5층 (민락동, 행복빌딩)",부산광역시 수영구 민락동 178-15 행복빌딩,35.1550952,129.1209773,부산광역시,수영구,민락동,178-15,178,15,2650010300,2650010300-0-01780015,,,,,
579,580,부산광역시,수영구,호스텔,레드 하우스,김미자,영업중,,,지상2~4층,165,173.98,3,부산광역시 수영구 민락본동로11번길 79 (민락동),"공동취사장, 문화정보교류실",부산광역시 수영구 민락본동로11번길 79 (민락동),부산광역시 수영구 민락동 182-4,35.156552,129.1245835,부산광역시,수영구,민락동,182-4,182,4,2650010300,2650010300-0-01820004,,,,,
580,581,부산광역시,수영구,호스텔,마레파티하우스,임금주 외 1 명,영업중,,,지상2~4층,273,1173.85,6,"부산광역시 수영구 민락수변로7번길 20,2층,7층(민락동)","공동취사장, 문화정보교류실","부산광역시 수영구 민락수변로7번길 20,2층,7층 (민락동)",부산광역시 수영구 민락동 181-150,35.1553138,129.1248012,부산광역시,수영구,민락동,181-150,181,150,2650010300,2650010300-0-01810150,,,,,
